label,data,trend,trend_date,trend_times,trend_step,trend_cumul,trend_age,data_treated
GTEVC GTARC|OCEVC,90,in,2023-05-01 12:23:02.641,1,0,0,00:00:00,90
ARC_DAT GTARC|ODATA,194,eq,2023-05-01 12:20:02.023,4,0,0,0:0:20,266,in,2023-05-01 12:23:02.696,1,0,2023-05-01 12:23:02.644,eq,2023-05-01 12:20:02.023,4,0,2023-05-01 12:23:02.688
GTEVC GTSGBDO|CBEVCMA,428,in,2023-05-01 12:23:07.354,1,0,0,00:00:00,428,in,2023-05-01 12:23:07.396,1,0,2023-05-01 12:23:07.361
ARC_GFT GTARC|OGFT,557,eq,2023-05-01 12:22:09.249,2,0,0,0:0:10,833,eq,2023-05-01 12:22:09.249,2,0,2023-05-01 12:23:09.116
GTEVCTR GTARC|OCTRA,85,in,2023-05-01 12:23:09.905,1,0,0,00:00:00,85,in,2023-05-01 12:23:09.933,1,0,2023-05-01 12:23:09.907
ARC_GFT GTSGBDO|OCSGFT,17,dw,2023-05-01 12:23:10.497,1,-2,-2,00:00:00,365
GTEVCTR GTSGBDO|CEVCTMA,214,dw,2023-05-01 12:23:10.516,1,-2,2023-05-01 12:23:10.499,in,2023-05-01 12:23:10.655,1,0,0,00:00:00,214,in,2023-05-01 12:23:10.723,1,0,2023-05-01 12:23:10.699
ARC_LOA GTARC|OCSL,228,eq,2023-05-01 12:22:32.225,2,0,0,0:0:10,288,eq,2023-05-01 12:22:32.225,2,0,2023-05-01 12:23:11.079
TOTAL,3027,in,2023-05-01 12:23:11.108,1,0,0,00:00:00,3027,in,2023-05-01 12:23:12.078,1,0,2023-05-01 12:23:11.262
ARC_MGR GTARC|OMGR,414,eq,2023-05-01 12:20:02.876,4,0,0,0:0:20,507,eq,2023-05-01 12:20:02.876,4,0,2023-05-01 12:23:12.638
ARC_MON GTARC|OMON,162,ou,2023-05-01 12:23:13.896,1,0,0,00:00:00,190,ou,2023-05-01 12:23:13.917,1,0,2023-05-01 12:23:13.899
ARC_REC GTARC|OREC,181,ou,2023-05-01 12:23:14.171,1,0,0,00:00:00,308,ou,2023-05-01 12:23:14.192,1,0,2023-05-01 12:23:14.174
ARC_SMO GTARC|OSMS,120,ou,2023-05-01 12:23:14.480,1,0,0,00:00:00,140,ou,2023-05-01 12:23:14.500,1,0,2023-05-01 12:23:14.482
ARC_VOU GTARC|OVOU,323,ou,2023-05-01 12:23:14.522,1,0,0,00:00:00,448,ou,2023-05-01 12:23:14.542,1,0,2023-05-01 12:23:14.524
ARC_MON GTARC|OMON,162,in,2023-05-01 12:23:14.660,1,0,0,00:00:00,162
ARC_VOU GTSGBDO|OCSVOU,12,ou,2023-05-01 12:23:14.767,1,0,0,00:00:00,in,2023-05-01 12:23:14.767,1,0,2023-05-01 12:23:14.705,149,ou,2023-05-01 12:23:14.789,1,0,2023-05-01 12:23:14.770
ARC_REC GTARC|OREC,181,in,2023-05-01 12:23:14.897,1,0,0,00:00:00,181,in,2023-05-01 12:23:14.916,1,0,2023-05-01 12:23:14.900
ARC_SMO GTARC|OSMS,120,in,2023-05-01 12:23:15.229,1,0,0,00:00:00,120,in,2023-05-01 12:23:15.251,1,0,2023-05-01 12:23:15.232
ARC_VOU GTARC|OVOU,323,in,2023-05-01 12:23:15.417,1,0,0,00:00:00,323,in,2023-05-01 12:23:15.436,1,0,2023-05-01 12:23:15.420
ARC_VOU GTSGBDO|OCSVOU,11,in,2023-05-01 12:23:15.536,1,0,0,00:00:00,11,in,2023-05-01 12:23:15.555,1,0,2023-05-01 12:23:15.538
GTEVC GTARC|OCEVC,90,in,2023-05-01 12:23:15.656,1,0,0,00:00:00,90,in,2023-05-01 12:23:15.675,1,0,2023-05-01 12:23:15.659
GTEVC GTSGBDO|CBEVCMA,428,in,2023-05-01 12:23:15.774,1,0,0,00:00:00,428,in,2023-05-01 12:23:15.792,1,0,2023-05-01 12:23:15.777
GTEVCTR GTARC|OCTRA,85,in,2023-05-01 12:23:15.891,1,0,0,00:00:00,85,in,2023-05-01 12:23:15.909,1,0,2023-05-01 12:23:15.894
GTEVCTR GTSGBDO|CEVCTMA,214,in,2023-05-01 12:23:16.008,1,0,0,00:00:00,214,in,2023-05-01 12:23:16.027,1,0,2023-05-01 12:23:16.011
GTOCS5D GTSGBDO|CBP52DA,1,in,2023-05-01 12:23:16.126,1,0,0,00:00:00,1,in,2023-05-01 12:23:16.145,1,0,2023-05-01 12:23:16.129
GTOCS5M GTSGBDO|CBPMG52,2,in,2023-05-01 12:23:16.244,1,0,0,00:00:00,2,in,2023-05-01 12:23:16.787,1,0,2023-05-01 12:23:16.247
GTOCS5S GTSGBDO|CBPSM52,1,in,2023-05-01 12:23:18.470,1,0,0,00:00:00,1,in,2023-05-01 12:23:18.489,1,0,2023-05-01 12:23:18.473
TOTAL,3028,in,2023-05-01 12:23:18.589,1,0,0,00:00:00,3028,in,2023-05-01 12:23:18.608,1,0,2023-05-01 12:23:18.592
