,data_treated,trend_hourOfWeek,trend_hourOfWeek_date,trend_hourOfWeek_times,trend_hourOfWeek_step,report_date
,,eq,2023-05-15 12:43:05.355,4,0,2023-05-15 12:45:19.320
ARCPSMS GTARCEP|HSMSCO2,0,eq,2023-05-15 10:51:21.090,110,0,0,1:3:10,,eq,2023-05-15 10:51:21.090,110,0,2023-05-15 12:45:28.306
MSCPROD GTSGBDO|MSCMAS,0,in,2023-05-15 12:45:33.996,1,0,0,00:00:00,0,in
ARCSMS2 GTARC|HSMSC2,0,2023-05-15 12:45:34.027,1,0,2023-05-15 12:45:33.999,eq,2023-05-15 12:42:10.063,4,0,0,0:0:20,0,eq,2023-05-15 12:42:10.063,4,0,2023-05-15 12:45:39.494
TOTAL,0,in,2023-05-15 12:45:43.025,1,0,0,00:00:00,0,in,2023-05-15 12:45:43.053,1,0,2023-05-15 12:45:43.027
ARCSMS2 GTARCEP|HSMSC2,0,eq,2023-05-15 12:42:10.337,4,0,0,0:0:20,0,eq,2023-05-15 12:42:10.337,4,0,2023-05-15 12:45:43.080
ARCSMS2 GTARCEP|OSMSC2,0,eq,2023-05-15 12:42:10.599,4,0,0,0:0:20,0,eq,2023-05-15 12:42:10.599,4,0,2023-05-15 12:45:43.326
GTSMSC2 GTSGBDO|ESMSC2,0,eq,2023-05-15 12:42:10.846,4,0,0,0:0:20,0,eq,2023-05-15 12:42:10.846,4,0,2023-05-15 12:45:49.043
MSCPROD GTARC|HMSC,0,ou,2023-05-15 12:45:51.312,1,0,0,00:00:00,0,ou,2023-05-15 12:45:51.334,1,0,2023-05-15 12:45:51.315
MSCPROD GTARCEP|HMSC,0,ou,2023-05-15 12:45:58.524,1,0,0,00:00:00,0,ou,2023-05-15 12:45:58.544,1,0,2023-05-15 12:45:58.526
MSCPROD GTARC|HMSC,0,in,2023-05-15 12:46:04.006,1,0,0,00:00:00
MSCPROD GTARIS|HMSC,0,0,ou,2023-05-15 12:46:04.117,1,0,0,00:00:00,0,in,2023-05-15 12:46:04.133,1,0,2023-05-15 12:46:04.106,ou,2023-05-15 12:46:04.142,1,0,2023-05-15 12:46:04.120
MSCPROD GTFSTAT|HMSC,0,ou,2023-05-15 12:46:05.991,1,0,0,00:00:00,0,ou,2023-05-15 12:46:06.013,1,0,2023-05-15 12:46:05.994
MSCPROD GTICT|HMSCINT,0,ou,2023-05-15 12:46:06.324,1,0,0,00:00:00,0,ou,2023-05-15 12:46:06.352,1,0,2023-05-15 12:46:06.327
MSCPROD GTICT|HMSCNAT,0
MSCPROD GTARCEP|HMSC,0,ou,2023-05-15 12:46:06.396,1,0,0,00:00:00,0,in,2023-05-15 12:46:06.406,1,0,0,00:00:00,0,ou,2023-05-15 12:46:06.417,1,0,2023-05-15 12:46:06.400,in,2023-05-15 12:46:06.426,1,0,2023-05-15 12:46:06.408
MSCPROD GTARIS|HMSC,0,in,2023-05-15 12:46:06.689,1,0,0,00:00:00,0,in,2023-05-15 12:46:06.709,1,0,2023-05-15 12:46:06.692
MSCPROD GTFSTAT|HMSC,0,in,2023-05-15 12:46:07.231,1,0,0,00:00:00,0,in,2023-05-15 12:46:07.251,1,0,2023-05-15 12:46:07.233
MSCPROD GTICT|HMSCINT,0,in,2023-05-15 12:46:07.362,1,0,0,00:00:00,0,in,2023-05-15 12:46:07.383,1,0,2023-05-15 12:46:07.364
MSCPROD GTICT|HMSCNAT,0,in,2023-05-15 12:46:07.537,1,0,0,00:00:00,0,in,2023-05-15 12:46:07.569,1,0,2023-05-15 12:46:07.541
MSCPROD GTMACH|GTNEXGN,0,in,2023-05-15 12:46:07.749,1,0,0,00:00:00,0,in,2023-05-15 12:46:07.771,1,0,2023-05-15 12:46:07.751
MSCPROD GTSGBDO|MSCMAS,0,in,2023-05-15 12:46:07.899,1,0,0,00:00:00,0,in,2023-05-15 12:46:07.951,1,0,2023-05-15 12:46:07.904
MSCPROD GTSGBDO|MSCREQ,0,in,2023-05-15 12:46:08.186,1,0,0,00:00:00,0,in,2023-05-15 12:46:08.205,1,0,2023-05-15 12:46:08.188
SBC_IMS GTARC|SBCIMS,0,in,2023-05-15 12:46:08.361,1,0,0,00:00:00,0,in,2023-05-15 12:46:08.380,1,0,2023-05-15 12:46:08.363
TOTAL,0,in,2023-05-15 12:46:08.508,1,0,0,00:00:00,0,in,2023-05-15 12:46:08.528,1,0,2023-05-15 12:46:08.511
